Reports,Count
UNSPECIFIED/INTERNATIONAL,8357
"ALBERTA,CANADA",484
ALASKA,521
ALABAMA,1009
ARKANSAS,870
ARIZONA,3801
"BRITISH COLUMBIA,CAN",1000
CALIFORNIA,12779
COLORADO,2266
CONNECTICUT,1346
DISTRICT OF COLUMBIA,132
DELAWARE,296
FLORIDA,6047
GEORGIA,1975
HAWAII,500
IOWA,941
IDAHO,872
ILLINOIS,3426
INDIANA,1857
KANSAS,895
KENTUCKY,1240
LOUISIANA,881
MASSACHUSETTS,1944
"MANITOBA,CANADA",207
MARYLAND,1369
MAINE,884
MICHIGAN,2830
MINNESOTA,1552
MISSOURI,2144
MISSISSIPPI,592
MONTANA,747
"NEW BRUNSWICK,CAN",158
NORTH CAROLINA,2725
NORTH DAKOTA,192
NEBRASKA,528
"NEWFOUNDLAND,CAN",35
NEW HAMPSHIRE,827
NEW JERSEY,2111
NEW MEXICO,1200
"NOVA SCOTIA,CAN",192
NORTHWEST TERRITORY,24
NEVADA,1279
NEW YORK,4433
OHIO,3324
OKLAHOMA,1073
"ONTARIO,CAN",2020
OREGON,2636
PENNSYLVANIA,3642
PRINCE EDW ISLAND,24
"PROV OF QUE,CAN",102
PUERTO RICO,37
QC,242
RHODE ISLAND,446
"SASKATCHEWAN,CAN",39
SOUTH CAROLINA,1656
SOUTH DAKOTA,289
SK,145
TENNESSEE,1701
TEXAS,4761
UTAH,1045
VIRGINIA,1978
VIRGIN ISLANDS,2
VERMONT,444
WASHINGTON,5576
WISCONSIN,1861
WEST VIRGINIA,688
WYOMING,290
YUKON,6
YT,20
