City,Date,Shape,State,Summary
Kingston,7/14/17 12:15,Cylinder,ON,"Black S shaped spinning balloon hovers at noon, then takes off at a 45 degree angle back up into space within seconds."
Pinon Hills,7/14/17 01:30,Other,CA,"Riding my quad on a dirt road, when I noticed the SW sky a bright blue star over the San Bernardino Mtns just W of Wright"
Wappingers Falls,7/13/17 23:00,Triangle,NY,It seemed to be a boomerang or triangular shape object that was hovering but slowly moving.
Lebanon,7/13/17 22:44,Sphere,OR,"Bright red or orange spherical object. First spotted near alpha Cygnus headed south-southeast. Very bright,sputtered and dissappearing"
Oak Ridge,7/13/17 22:02,Light,TN,"Bright green light ball flying circular, oval in shape flew over my house tonight and above trees."
Charlotte,7/13/17 21:30,Formation,NC,"Flock formation of unidentified craft, appearing as blue strobing lights."
Morehead City,7/13/17 21:00,Circle,NC,"Still, orange light over Morehead City."
San Gabriel,7/13/17 20:45,Sphere,CA,"Extremely fast right red liight, sphere in shape"
Lawrenceville,7/13/17 12:33,Fireball,GA,"White star-like object grew larger, dropped, disappeared, reappeared, and continued dropping until gone."
McKinney,7/13/17 07:51,Sphere,TX,Red metallic sphere.
Takoma Park,7/13/17 00:30,Other,MD,"Just after midnight, I see a still flickering bright light below moon. Zoom in on pic."
Marietta,7/13/17 00:00,Cigar,SC,Craft with bright glowing lights fading from yellow to red in digital pattern.
Weston,7/12/17 23:50,Triangle,FL,"Changing colors between red, green, yellow, orange. Faster than plane, no sound. ((anonymous report))"
Rancho Cucamonga,7/12/17 22:50,Triangle,CA,Red triangular lights in the sky moving eastbound in Southern California night sky. ((NUFORC Note: Witness is comm. pilot. PD))
Carlisle,7/12/17 22:38,Triangle,PA,Low silent object with multiple blinking lights followed by bright light over field.
Cavalier,7/12/17 22:30,Triangle,ND,"2 triangle objects, appeared to be stationary, straight up from Cavalier very high in the sky. Suddenly one took off at high speed."
Labadieville,7/12/17 19:45,Oval,LA,"Oval flying object traveling north to south, seen around three times in the past two years."
Glendale,7/12/17 19:05,Light,AZ,"Bright star like light (during daytime), fades while moving and disappears."
Las Cruces,7/12/17 10:15,,NM,4 fireballs illuminating consecutively in a horizontal pattern over Organ Mountains. Also over NASA. ((anonymous report))
Bellaire,7/12/17 04:00,Unknown,MI,Colorful flying in circles blue yellow and white. ((anonymous report))
Gallup,7/12/17 03:50,Cone,NM,We observed and recorded the objects with mobile phones as it followed us into the city. ((NUFORC Note: Venus? Anonymous report. PD))
Williamsburg,7/11/17 23:15,Circle,VA,"Flying circle over Williamsburg, VA."
South Dewey Beach,7/11/17 23:12,Fireball,DE,"Bright White Fireball traveling sky left to land-water right over Rehoboth Bay, DE. ((NUFORC Note: Meteor?? Anonymous report. PD))"
Artesia,7/11/17 22:30,Light,NM,As me and my brother talked about flying I just happened to notice a broth star in the south west of were I was sitting. I began to see
Hampton,7/11/17 21:51,Circle,NH,Circular white light. ((NUFORC Note: Possible satellite?? PD))
Birmingham (NE of),7/11/17 14:00,Disk,AL,Round object viewed from airliner.
Modesto,7/11/17 03:00,Light,CA,Light is sky very bright on appears around 3 am ish to 5ish look like could change colors. ((NUFORC Note: Venus?? PD))
Osage Beach,7/11/17 01:50,Triangle,MO,Three bright lights in a triangle shape moving fast and completely silent before vanishing into thin air. ((anonymous report))
Lawrence,7/11/17 01:47,Changing,KS,I looked up and saw an object move from West to East. The single ball of light became three balls of light. They left in three opposite
Kovilpatti (India),7/11/17 01:30,Rectangle,,Rectangular moving object's shadow on the cloud cover under the bright moon
Tulsa,7/11/17 01:00,Chevron,OK,Large lighted stationary for over 1 hour three witnesses and possable photo on phone object was lighted from top to bottom.
Florence,7/11/17 00:20,Triangle,MT,"Green and red light Bitterroot Valley, MT"
Lamoni,7/10/17 23:00,Disk,IA,"Me and friends were outside talking, and I looked up,and said holy crap look we all looked up and we seen a object that looked like a s"
Hermiston,7/10/17 13:00,Other,WA,"Driving home from Oregon to State of WA.

My sister's and I seen like hafe a rainbow fall out of the sky very fast and rainbow colors"
Newville,7/10/17 11:00,Cylinder,PA,Black tubular object at 11AM with helicopters.
Somerset,7/10/17 09:00,Light,NY,"Approx. 9:00 pm on July 10, 2017 at Golden Hill State Park Campground in Somerset, New York.

My husband, my sister and I were sittin"
Baltimore,7/10/17 04:00,Chevron,MD,"Huge black aircraft with green lights, moving incredibly low and slow over the trees."
Richland,7/10/17 00:30,Teardrop,PA,very black craft passing edge of the moon. ((anonymous report))
Vadnis Heights/white bear lake,7/9/17 22:00,Other,MN,Hovered above hwy 61 and co. road E. it was kinda cresent moon shaped bright white light w/ duller deep red lights. ((anonymous))
Nickerson State Park. Brewster,7/9/17 21:31,Fireball,MA,"Camping Nickerson State Park Brewster, MA, witness a craft traveling over flax pond emanating a bright light. ((anonymous report))"
Occoquan,7/9/17 21:15,Fireball,VA,Fireball over Occoquan.
Wakefield,7/9/17 20:15,Unknown,MA,My boyfriend and I were driving South on 95 near Wakefield when all of the sudden we noticed a peculiar bright and shiny craft in the s
South Windsor,7/9/17 18:45,Cylinder,CT,"Two star-like objects preceding and following one larger tumbling or spinning object, similar in size to airliner"
La Pine,7/9/17 16:00,Unknown,OR,"Bright shiny object hovers in the sky, and then just vanishes!"
Augusta,7/9/17 12:45,Other,NJ,"Was driving on Plains rd, Sussex Co., NJ. 1235pm. Looked to right in sky. Seen a dark silver/grey craft. Top and bottom were flat."
Canton,7/9/17 09:53,Circle,MA,"UFO sighting in Canton, MA. ((anonymous report))"
Lancaster,7/9/17 05:30,Light,SC,"Satallite appearing object appeared for a moment, disappeared, then flickered and was gone."
Bowling Green,7/9/17 04:43,Light,OH,Light moving across sky
Hendersonville,7/9/17 04:30,Unknown,NC,Bright lights in NE Sky of Hendersonville. ((NUFORC Note: Possible sighting of Venus?? PD))
Prilep (Macedonia),7/9/17 03:39,Unknown,,A light has been appearing for the past 2 wks at 3am at the same spot each am. ((NUFORC Note: Venus?? PD))((anonymous report))
Salt Lake City Utah,7/9/17 01:00,Unknown,UT,Jade color light drops from sky.
Salt Lake City,7/9/17 01:00,Unknown,UT,Jade color light drops from sky.
Sterling Heights,7/9/17,Light,MI,Bright blue/teal light jumping and diving in Sterling Heights
Lexington,7/8/17 23:30,Circle,KY,"4 strange unidentified lights over Lexington, KY."
Oshawa (Canada),7/8/17 23:26,Light,ON,Masquerading Star Moves And Fades Out When Realized Not A Star.
Parker,7/8/17 23:00,Circle,CO,"Observed reddish colored circular craft approximately 1000-1500 feet in alt., traveling N by NE at approx. 35mph. ((anon. report))"
Riverside,7/8/17 22:50,Light,CA,"Pulsing red light, changes colors & altitude."
Versailles,7/8/17 22:30,Unknown,KY,"Sitting on my back porch. Beautiful clear evennng. Noticed an bright, constant, orange light. Consistent speed. ((anonymous report))"
Chamois,7/8/17 22:23,Circle,MO,My Mother and I witnessed a red and orange fire like light moving in the night sky and then disappeared .
Edinburg,7/8/17 22:15,Light,PA,8-10 orange lights/orbs.
Manilla,7/8/17 22:10,Circle,IA,"2 Red lights seen over small Iowa town, then disappeared!"
Vienna,7/8/17 21:45,Light,VA,Observed 5 red silent lights traveling eastward at regular intervals. ((anonymous report))
Mentor,7/8/17 21:00,Sphere,OH,"Dark, spherical object 50 ft. above tree line silhouetted against evening sky in residential neighborhood."
,7/8/17 20:47,Diamond,IN,"I was running late at night, meanwhile my neighbors were lighting fireworks. The fireworks my neighbors had been setting off were the k"
Telluride,7/8/17 12:44,Cigar,CO,unknown object in sky seen on photo taken during hike.
Lisburn (Northern Ireland),7/8/17 11:00,Teardrop,,"Walking dog.. Standing chatting to fellow dog walker in field, clear bright summer day. Full vision.Clear sky's. Observed for split sec"
Woodstock,7/8/17 10:30,Light,GA,White orb like light near downtown Woodstock.
Clinton,7/8/17 10:00,Changing,CT,My mother and I were driving northbound on I-95 in the Clinton area. It was extremely dark outside despite the full moon. There were al
Stratford,7/8/17 03:30,Unknown,CT,Just saw lights in a square formation 4 blue lights inside 4 red lights moved rapidly up down and sideways than just hover lights did n
Davie,7/8/17 03:11,Unknown,FL,"Brilliant light coming and going, and loud, increasing, engine noise; stops suddenly! ((anonymous report))"
Walla Walla,7/8/17 02:35,Light,WA,Bright light hovering over Walla Walla
Carlsbad,7/8/17 01:30,Circle,CA,See slow motion video.
Royal Oak,7/8/17 00:45,Other,MI,"Witnessed 15 orange like dots in the sky that did not look like stars, planes nor fireworks."
San Diego,7/7/17 22:25,Fireball,CA,"Firework-like ship fell down, then up again, down about 3 circles before disappearing (7 witnesses). ((anonymous report))"
San Diego,7/7/17 22:15,Fireball,CA,Fireball objects appeared in the sky almosy serpent like movement .
Mt. Morrison,7/7/17 21:55,Changing,CO,We saw one round object hoovering around the antenna tower on Mt. Morrison between Interstate 70 & Rd. 74.
Chula Vista,7/7/17 21:53,Fireball,CA,UFO disappears behind mountain. Fireball trail.
St. Augustine Beach,7/7/17 21:30,Circle,FL,"Strange reddish/orange in color, and shaped like like hot air balloons. The light aspect lasted about 2 to 3 minutes for each object."
Ocoee,7/7/17 21:21,Light,FL,3 orange-ish red lights hovering for five minutes.
West Mifflin,7/7/17 21:00,Sphere,PA,Perfect sphere almost translucent but with a slight cloud like color moving across sky
Plymouth,7/7/17 20:00,Circle,MI,"Circle craft with a light center and silver rim, moving fast and straight, then turned to fly at a angle. Cloudy. ((anonymous report))"
Louisvile,7/7/17 04:26,Circle,KY,Orange light with two glowing orbs bright orange and round in shape way above the ground at least 50 feet. ((anonymous report))
Winder,7/7/17 03:00,Light,GA,"I am 100% certain that this is not a jet/plane, a satellite, another celestial body, or the I.S.S. It has a very bright light and is co"
Port Sanilac,7/7/17 03:00,Light,MI,Second night sighting. ((NUFORC Note: Possible sighting of Venus?? PD))
Anahiem,7/7/17 00:30,Teardrop,CA,Slow moving teardrop like red light in sky and dropping shooting-star like material.
Marsing,7/6/17 23:26,Other,ID,"Bright and erratic moving object, almost space shuttle shaped. ((NUFORC Note: Sighting of Jupiter?? PD))"
Billings,7/6/17 23:24,Flash,MT,Orange flash in night sky over the Little Big Horn battlefield.
Madison,7/6/17 22:30,Flash,WI,"Saw lights flashing in the sky non-stop for hours, freaked my dog out. ((anonymous report))"
Marshalltown,7/6/17 22:00,Fireball,IA,Orange/red light seen on west side of town.
Warner Springs (near),7/6/17 21:40,Light,CA,Tailgating vehicle disappears.
Phoenix,7/6/17 21:25,Oval,AZ,First One BIG oval disc 2 bright lights one red. The other was smaller and moving very fast. We saw it shoot light from the craft.. It
Majors Place (south of),7/6/17 21:00,Light,NV,"Three non-moving, reddish-orange lights in White Pine County, NV."
Alto,7/6/17 21:00,Light,NM,"Unexplained trio of bright lights, night of July 6, 2017."
Anaheim,7/6/17 20:58,Fireball,CA,Fireball good across the sky leaving a trail. ((anonymous report))
New Bern,7/6/17 20:18,Oval,NC,"While sitting outside on the back deck of my waterfront home at about 20:10 I began noticing duck families; 7 in all, all swimming the"
